               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034617,            0.016988,           0.0017807,             0.90135,             0.95767,             0.95757,             0.54788,            0.032754,            0.018036,           0.0010887,            0.070024,           0.0033307,           0.0033307
                   1,            0.036553,             0.01712,           0.0020887,             0.87915,             0.93606,               0.939,             0.49517,            0.035247,            0.018633,           0.0014008,            0.039892,           0.0065321,           0.0065321
                   2,             0.03959,            0.018091,           0.0027758,             0.80472,             0.87248,             0.87543,             0.41456,            0.039221,            0.020729,            0.002375,           0.0096277,           0.0096015,           0.0096015
                   3,            0.042487,            0.019927,             0.00447,             0.76352,             0.85746,             0.83344,              0.3851,            0.039925,            0.021405,           0.0026184,            0.009406,            0.009406,            0.009406
                   4,            0.042343,            0.020004,           0.0042655,             0.75511,             0.85645,             0.83379,             0.38509,             0.03977,            0.021072,           0.0027497,            0.009406,            0.009406,            0.009406
                   5,            0.042307,            0.019989,           0.0043107,             0.78366,             0.87393,              0.8605,             0.40786,            0.038976,            0.021011,           0.0025693,            0.009208,            0.009208,            0.009208
                   6,             0.04184,            0.019666,           0.0041618,             0.80253,             0.87087,             0.87029,             0.41418,            0.038697,            0.020844,           0.0024208,             0.00901,             0.00901,             0.00901
                   7,            0.041795,            0.019443,           0.0039883,             0.79857,             0.89363,             0.87574,             0.42419,            0.038398,            0.020599,           0.0024011,            0.008812,            0.008812,            0.008812
                   8,            0.041584,            0.019421,           0.0037781,             0.79973,             0.90577,             0.87697,             0.42981,            0.037661,            0.020345,           0.0020544,            0.008614,            0.008614,            0.008614
                   9,            0.041245,            0.019247,           0.0036819,             0.82246,             0.90864,             0.89788,             0.44474,             0.03739,            0.020287,            0.001912,            0.008416,            0.008416,            0.008416
                  10,            0.041012,            0.019267,           0.0035339,             0.82747,             0.91687,             0.90579,             0.45651,            0.036775,            0.020041,           0.0020147,            0.008218,            0.008218,            0.008218
                  11,            0.040874,            0.018982,            0.003456,             0.83137,             0.91225,             0.90547,              0.4536,            0.036611,            0.019976,           0.0019061,             0.00802,             0.00802,             0.00802
                  12,            0.040683,            0.019017,           0.0035711,             0.83028,             0.90894,             0.90659,             0.46695,            0.036145,            0.019976,           0.0018448,            0.007822,            0.007822,            0.007822
                  13,             0.04032,            0.019019,           0.0033347,             0.85264,              0.9134,             0.91801,             0.46749,            0.036104,            0.019636,           0.0018179,            0.007624,            0.007624,            0.007624
                  14,            0.039967,            0.018714,           0.0032143,             0.85499,             0.92266,              0.9205,             0.48463,            0.035549,             0.01959,           0.0017249,            0.007426,            0.007426,            0.007426
                  15,            0.039979,            0.018916,           0.0032648,             0.85724,             0.92339,             0.92413,             0.48515,            0.035475,            0.019499,           0.0016493,            0.007228,            0.007228,            0.007228
                  16,            0.039874,            0.018567,           0.0032774,             0.85944,             0.92247,             0.92562,             0.49105,            0.035206,             0.01938,           0.0016598,             0.00703,             0.00703,             0.00703
                  17,            0.039698,            0.018667,           0.0032219,              0.8623,             0.92271,             0.92763,             0.49424,            0.034985,            0.019333,            0.001616,            0.006832,            0.006832,            0.006832
                  18,             0.03961,            0.018358,           0.0031687,             0.86289,             0.93263,             0.93003,             0.50124,            0.034712,            0.019226,           0.0015384,            0.006634,            0.006634,            0.006634
                  19,             0.03946,            0.018517,            0.003072,             0.86224,             0.93138,             0.93395,             0.50417,            0.034424,            0.019227,           0.0015131,            0.006436,            0.006436,            0.006436
                  20,             0.03907,            0.018428,           0.0030884,             0.86596,             0.93508,             0.93392,             0.51097,            0.034251,            0.019128,            0.001523,            0.006238,            0.006238,            0.006238
                  21,            0.039207,            0.018602,           0.0030565,             0.87146,             0.94309,             0.93809,             0.51369,             0.03403,            0.019005,           0.0014125,             0.00604,             0.00604,             0.00604
                  22,            0.038767,            0.018549,           0.0029928,              0.8792,             0.94072,             0.94219,             0.52218,            0.033692,            0.018852,           0.0013988,            0.005842,            0.005842,            0.005842
                  23,            0.038727,            0.018248,           0.0028237,             0.88106,             0.94591,              0.9453,             0.52618,            0.033467,            0.018706,           0.0013637,            0.005644,            0.005644,            0.005644
                  24,            0.038447,            0.018331,           0.0027802,             0.88189,             0.94879,             0.94532,             0.53144,            0.033234,            0.018659,           0.0013342,            0.005446,            0.005446,            0.005446
                  25,            0.038131,            0.018139,           0.0027775,              0.8846,             0.94367,             0.94716,             0.53467,            0.032959,            0.018546,           0.0013148,            0.005248,            0.005248,            0.005248
                  26,            0.037954,            0.017899,           0.0027368,             0.89179,              0.9489,             0.95035,             0.53994,            0.032815,            0.018514,            0.001284,             0.00505,             0.00505,             0.00505
                  27,            0.037754,            0.018122,           0.0027754,             0.89246,             0.94913,             0.95044,             0.54376,            0.032611,            0.018408,           0.0012405,            0.004852,            0.004852,            0.004852
                  28,            0.037752,            0.017757,           0.0027727,             0.89141,             0.95337,             0.95171,             0.54702,            0.032393,            0.018318,           0.0011961,            0.004654,            0.004654,            0.004654
                  29,            0.037497,            0.017911,           0.0025882,             0.89316,             0.95334,             0.95251,             0.54995,            0.032192,             0.01826,           0.0011632,            0.004456,            0.004456,            0.004456
                  30,             0.03724,            0.017991,           0.0026045,              0.9012,             0.94377,             0.95308,             0.55492,            0.031996,             0.01818,           0.0011549,            0.004258,            0.004258,            0.004258
                  31,            0.037136,            0.017733,           0.0025581,             0.90161,             0.94769,             0.95569,              0.5581,            0.031851,            0.018096,           0.0011191,             0.00406,             0.00406,             0.00406
                  32,            0.036879,            0.017563,           0.0023959,             0.90043,             0.95399,             0.95772,             0.56059,             0.03165,            0.018003,             0.00109,            0.003862,            0.003862,            0.003862
                  33,            0.036803,            0.017745,           0.0024985,             0.90597,             0.95119,              0.9585,             0.56457,            0.031433,            0.017945,           0.0010843,            0.003664,            0.003664,            0.003664
                  34,            0.036563,            0.017573,           0.0023688,             0.90695,             0.95475,             0.95933,             0.56824,             0.03128,            0.017876,           0.0010502,            0.003466,            0.003466,            0.003466
                  35,            0.036336,            0.017475,           0.0023473,             0.90615,             0.95828,             0.96003,             0.57199,            0.031119,            0.017798,           0.0010283,            0.003268,            0.003268,            0.003268
                  36,            0.036147,            0.017309,           0.0023405,             0.91126,             0.95452,             0.96135,             0.57531,            0.030943,            0.017719,           0.0010102,             0.00307,             0.00307,             0.00307
                  37,             0.03561,            0.017267,           0.0022145,             0.91308,             0.95233,             0.96178,             0.57909,             0.03077,             0.01764,          0.00097207,            0.002872,            0.002872,            0.002872
                  38,            0.035648,            0.017374,           0.0021154,             0.91415,              0.9511,             0.96241,             0.58207,            0.030609,            0.017578,          0.00095302,            0.002674,            0.002674,            0.002674
                  39,            0.035259,            0.017167,           0.0019803,             0.91571,             0.95428,             0.96309,             0.58491,            0.030451,            0.017509,          0.00093346,            0.002476,            0.002476,            0.002476
                  40,            0.034821,            0.016841,           0.0019785,             0.91555,              0.9582,             0.96411,              0.5884,            0.030298,            0.017431,          0.00091183,            0.002278,            0.002278,            0.002278
                  41,            0.034539,            0.016746,           0.0018408,             0.91888,             0.95704,             0.96505,             0.59124,            0.030147,            0.017358,          0.00089858,             0.00208,             0.00208,             0.00208
                  42,             0.03422,            0.016678,           0.0018912,             0.92081,             0.95618,             0.96588,              0.5937,            0.030022,            0.017293,          0.00087663,            0.001882,            0.001882,            0.001882
                  43,            0.033943,            0.016729,           0.0017812,             0.92126,             0.95721,             0.96643,             0.59553,            0.029901,            0.017231,          0.00085721,            0.001684,            0.001684,            0.001684
                  44,             0.03374,            0.016675,           0.0018284,             0.92229,             0.95737,              0.9672,             0.59772,            0.029773,            0.017176,          0.00083973,            0.001486,            0.001486,            0.001486
                  45,            0.033468,            0.016413,           0.0017359,             0.92138,             0.95973,             0.96763,             0.59935,            0.029663,            0.017125,          0.00082548,            0.001288,            0.001288,            0.001288
